Country,Code,ps_2013,ps_2014,ps_2015,ps_2016,ps_2017,ps_2018
Afghanistan,AFG,45.60,43.88,44.40,44.23,45.63,46.85
Albania,ALB,75.44,75.18,70.54,70.84,72.77,72.13
Argentina,ARG,63.42,63.45,62.67,63.55,63.30,65.50
Armenia,ARM,76.25,76.64,76.72,75.92,75.74,71.34
Australia,AUS,87.25,87.45,87.41,87.34,92.62,92.88
Austria,AUT,88.09,88.14,88.79,89.43,89.51,88.71
Azerbaijan,AZE,70.71,70.91,70.60,70.47,71.71,66.20
Bangladesh,BGD,64.60,64.73,64.00,64.12,64.83,63.62
Belarus,BLR,69.00,69.77,70.21,70.81,72.09,72.86
Belgium,BEL,84.78,85.10,79.63,79.66,79.57,79.59
Bhutan,BTN,79.48,79.58,81.05,81.17,83.83,85.38
Bolivia,BOL,63.72,64.14,66.49,66.06,68.52,68.63
Bosnia and Herzegovina,BIH,79.68,78.88,74.05,74.35,74.28,71.90
Brazil,BRA,54.23,54.02,54.19,52.82,52.62,52.48
Bulgaria,BGR,77.72,77.51,77.98,77.85,77.48,79.17
Burundi,BDI,47.87,44.73,43.50,37.17,44.16,42.66
Cambodia,KHM,56.12,56.28,56.43,55.63,55.42,55.83
Canada,CAN,85.55,85.98,86.16,86.08,90.99,91.42
Chile,CHL,75.44,76.79,75.44,75.03,75.86,73.02
China,CHN,61.18,61.49,62.94,63.19,63.35,62.02
Colombia,COL,53.55,53.89,54.01,55.79,55.63,54.34
Costa Rica,CRI,69.93,70.70,70.67,69.91,68.83,66.20
Croatia,HRV,80.54,80.72,75.46,75.47,75.94,74.85
Cuba,CUB,73.98,73.45,73.06,72.99,73.97,73.49
Cyprus,CYP,80.80,78.50,80.49,80.76,79.98,80.43
Czech Republic,CZE,87.64,87.28,87.74,87.76,87.61,88.25
Denmark,DNK,88.41,88.46,89.08,88.02,88.71,88.68
Dominican Republic,DOM,54.13,54.22,54.30,54.60,54.14,55.43
Estonia,EST,76.07,76.46,77.27,78.36,78.13,78.18
Fiji,FJI,74.40,75.09,76.19,76.29,76.28,76.17
Finland,FIN,85.99,86.85,86.77,86.92,87.04,87.07
France,FRA,80.44,80.87,81.01,80.98,80.26,80.75
Georgia,GEO,75.79,75.43,65.42,66.90,66.55,70.05
Germany,DEU,88.38,88.72,88.73,88.59,88.61,87.73
Greece,GRC,79.02,79.68,79.83,79.79,81.23,81.16
Hungary,HUN,79.88,80.55,79.96,79.96,79.22,79.59
Iceland,ISL,88.28,90.31,90.34,89.29,94.11,96.13
Indonesia,IDN,75.15,75.61,76.88,76.96,76.88,76.84
Iraq,IRQ,48.60,46.66,46.41,48.86,49.46,50.13
Ireland,IRL,88.09,87.57,87.81,87.95,89.35,89.35
Italy,ITA,74.67,74.92,75.19,75.10,75.62,76.31
Jamaica,JAM,56.87,57.03,56.58,57.45,56.82,56.50
Japan,JPN,90.34,90.44,90.52,90.49,96.26,96.32
Kazakhstan,KAZ,62.53,63.71,64.73,66.78,67.17,65.80
Kenya,KEN,57.89,58.32,58.66,58.65,57.25,58.92
"Korea, Republic of",KOR,85.42,85.79,86.06,86.24,92.62,92.74
Kuwait,KWT,77.32,77.62,77.82,78.00,77.28,76.97
Kyrgyzstan,KGZ,61.72,64.10,65.35,66.10,64.61,69.08
Lithuania,LTU,71.94,72.20,72.48,74.41,74.36,74.79
Luxembourg,LUX,82.21,82.31,84.41,82.50,82.54,82.50
Malaysia,MYS,74.34,74.06,73.45,73.66,74.71,75.05
Maldives,MDV,74.71,70.25,74.00,74.09,73.97,73.53
Malta,MLT,83.23,79.10,81.12,81.62,82.68,82.67
Mauritius,MUS,81.13,81.94,81.48,83.51,81.39,83.38
Mexico,MEX,51.75,52.85,53.54,54.37,54.40,53.68
Montenegro,MNE,74.64,74.78,71.66,69.29,69.44,66.14
Mozambique,MOZ,57.23,56.56,56.49,56.54,56.44,55.68
Myanmar,MMR,64.26,63.82,65.14,65.66,59.98,60.66
Netherlands,NLD,89.08,89.15,89.54,89.59,89.87,90.08
New Zealand,NZL,87.19,87.41,87.18,87.26,92.64,92.37
Norway,NOR,86.04,89.91,88.87,89.98,90.26,90.03
Pakistan,PAK,53.14,48.21,49.63,50.24,51.43,47.43
Paraguay,PRY,63.88,63.92,64.84,66.10,66.05,66.17
Peru,PER,62.56,61.90,64.05,64.21,64.15,64.01
Philippines,PHL,59.42,59.64,58.89,55.59,55.37,52.86
Poland,POL,85.56,86.30,87.15,86.34,86.11,86.66
Portugal,PRT,86.71,86.74,86.63,87.96,87.89,88.80
Romania,ROU,77.91,77.69,78.10,78.48,78.29,78.74
Russia,RUS,52.58,52.07,52.50,52.62,53.38,53.33
Rwanda,RWA,54.82,62.16,61.14,56.57,56.52,60.80
Serbia,SRB,79.43,80.18,73.86,73.91,73.47,71.58
Singapore,SGP,90.80,91.27,90.89,91.18,96.88,96.64
Slovakia,SVK,84.65,85.87,85.58,85.62,86.94,85.37
Slovenia,SVN,87.66,88.17,89.07,88.08,87.66,89.14
South Africa,ZAF,49.76,50.11,51.32,51.28,50.41,50.18
Spain,ESP,83.09,83.33,83.35,83.19,83.34,83.39
Sri Lanka,LKA,64.67,65.86,69.32,71.79,72.32,73.28
Sweden,SWE,89.40,89.86,89.31,89.36,88.75,88.91
Switzerland,CHE,89.61,89.77,89.58,90.27,89.77,90.09
Tajikistan,TJK,70.39,70.37,69.64,65.26,66.61,66.32
Tanzania,TZA,65.76,66.05,66.70,65.84,66.06,66.20
Thailand,THA,59.14,57.17,56.73,57.53,57.00,57.95
Ukraine,UKR,63.82,58.40,58.86,57.41,57.68,58.83
United Kingdom,GBR,82.86,82.82,82.97,83.05,82.77,82.14
Uruguay,URY,70.26,63.37,63.76,63.72,64.28,64.91
Uzbekistan,UZB,62.88,62.91,62.71,62.66,67.70,63.83
Vietnam,VNM,76.60,76.77,76.90,77.05,75.97,75.43
Zambia,ZMB,62.17,63.36,63.85,60.06,60.61,63.70
Zimbabwe,ZWE,41.21,40.32,40.81,40.22,42.79,40.51