Country,dept,saftey,pm2.5_
Czech Republic(27),-22.0396,0.69602921,-14
Denmark(11),-21.3837,0.305395317,-10
Estonia(30),-7.7366,2.773761,-14
Fiji(92),-5.3408,2.379032258,-16
Iceland(6),-55.2887,8.892161305,-12
Ireland(4),-42.8351,1.430355318,-14
Lithuania(35),-0.1006,3.961634696,-14
Malaysia(57),-0.7864,0.955071,-16
Netherlands(10),-13.8313,1.122586439,-13
New Zealand(16),-11.2753,5.941048,-13
Poland(33),-5.7599,1.285647499,-14
Romania(52),-2.5439,1.065331793,-10
Slovakia(38),-2.494,0.850561134,-11
Switzerland(2),-4.2434,0.535654503,-16
Austria(20),-3.75072,0.703826,-12.63